Jonas,Jonaitis 
1975
Nida
Endless Love,1981,Romantic drama,Universal Pictures,Franco Zeffirelli,Brooke Shields,Martin Hewitt,32492674
Taps,1981,Drama,20th Century Fox,Harold Becker,George C. Scott,Timothy Hutton,35003235
The Outsiders,1983,Drama,Warner Bros.,Francis Ford Coppola,C. Thomas Howell,Ralph Macchio,25700000
Losin' It,1983,Comedy,Embassy Pictures Corporation,Curtis Hanson,Tom Cruise,Shelley Long,1246141
Raising Arizona,1987,Comedy,20th Century Fox,Joel Coen,Nicolas Cage,Holly Hunter,29180280
The Stepford Wives,2004,Sci-fi drama comedy,Paramount Pictures,Frank Oz,Nicole Kidman,Matthew Broderick,102001626
Australia,2008,Romantic drama,20th Century Fox,Baz Luhrmann,Nicole Kidman,Hugh Jackman,211300000
Avatar,2009,Epic Sci-Fi,20th Century Fox,James Cameron,Sam Worthington,Stephen Lung,2778000000
Mission: Impossible Ghost Protocol,2011,Action,Paramount Pictures,Brad Bird,Tom Cruise, Jeremy Renner,694700000
Blended,2014,Romantic comedy,Warner Bros. Pictures,Frank Coracy,Adam Sandler,Drew Barrymore,128000000
Maleficent,2014,Dark fantasy,Walt Disney Pictures,Robert Stomberg,Angelina Jolie,Elle Fanning,754800000
The imitation game,2014,Historical drama thriller,The Weinstein Company,Morten Tyldum,Benedict Bumberbatch,Keira Knightley,227800000
Inside out,2015,Comedy,Walt Disney Studios Motion Picture,Pete Docter,Amy Poehler,Bill Hader,747400000
